Title: HST survey of the Orion Nebula Cluster in the H_2_O 1.4um absorption 
       band: I. A census of substellar and planetary mass objects  
Authors: Robberto M., Gennaro M., Gabellini M.G.U., Hillenbrand L.A., 
    Pacifici C., Ubeda L., Andersen M., Bartman T., Bellini A., Da Rio N., 
    de Mink S., Lodato G., Manara C.F., Platais I., Pueyo L., Soderblom D.R., 
    Strampelli G.M., Tan J., Testi L.
Table: Estimated parameters of the ONC sample
================================================================================
Byte-by-byte Description of file: apjab911et4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---     index    Sequential running number 
   6- 10 F5.2   [-]     log(BF)  Base-10 Logarithm of the Bayes Factor
  12- 15 F4.2   solMass Mstar    Mass, solar units
  17- 20 I4     K       Teff     Effective Temperature
  22- 27 F6.2   mag     Av       Extinction estimated using distance from IR isochrone
--------------------------------------------------------------------------------
 825  2.00 0.15 3115   1.40
 826  2.00 0.13 3077   0.98
 827  2.00 0.12 3056   0.94
 828  2.00 0.05 2784  -2.75
 829  2.00 0.10 2860   2.22
 830  2.00 0.05 2759   1.46
 832  2.00 0.03 2649   0.98
 833  0.88 0.03 2591   1.59
 834  0.86 0.02 2428   2.73
 837  0.51 0.01 2224   2.76
 840  2.00 0.00  671 -36.55
 845  0.56 0.04 2724  21.33
 855  2.00 0.70 3596  -0.10
 856  2.00 0.56 3477   1.53
 857  2.00 0.76 3641   2.43
 858  2.00 0.75 3633   2.59
 859  2.00 0.24 3230  -1.16
 861  2.00 0.19 3181   0.82
 862  2.00 0.07 2843  -5.33
 864  2.00 0.49 3416   5.90
 865  2.00 0.10 2890   1.06
 866  0.42 0.04 2746   4.51
 867  0.42 0.03 2596   4.24
 875  2.00 1.07 3854   0.95
 876  2.00 1.12 3880   5.64
 877  2.00 0.41 3366   2.64
 878  2.00 0.23 3226   0.78
 879  2.00 0.15 3108   0.16
 880  2.00 0.10 2896   2.61
 881  0.42 0.14 3099   6.80
 883  0.00 0.03 2646   7.28
 891  2.00 0.93 3767  -2.15
 892  2.00 0.76 3638   1.24
 893  2.00 0.91 3758   2.70
 894  2.00 0.53 3451   3.16
 895  2.00 0.55 3467   1.65
 896  2.00 0.26 3247  -0.11
 897  2.00 0.32 3294   2.54
 898  2.00 0.11 3002  -1.10
 899  0.43 0.23 3225   7.28
 900  0.62 0.15 3122   6.35
 901  0.78 0.12 3051   5.11
 902  0.30 0.17 3154   7.73
 904  0.69 0.05 2757   3.27
 936  2.00 0.81 3678   1.57
 937  2.00 0.14 3097  -0.31
 938  2.00 0.20 3187   1.17
 939  2.00 0.50 3423   6.41
 940  0.70 0.41 3363   7.05
 941 -0.08 0.46 3396  11.58
 942  2.00 0.04 2749   0.11
 943  0.58 0.10 2935   6.07
 948  2.00 0.63 3531   1.43
 949  2.00 0.07 2855  -4.36
 950  2.00 0.10 2856   1.52
 951 -0.14 0.61 3515  12.52
 952  2.00 0.08 2847   1.38
 953 -0.24 0.29 3274  10.78
 955  2.00 0.02 2462   0.62
 971  2.00 0.55 3467   1.49
 973  0.65 0.00 1841  -4.84
 977 -0.28 0.00 1890   0.47
 981  2.00 0.33 3306   1.34
 982  2.00 0.19 3185  -0.50
 983  2.00 0.20 3191   3.20
 984  2.00 0.07 2849   1.21
1019  2.00 0.64 3540  -4.92
1020  0.81 0.27 3254   5.58
1021  2.00 0.05 2782   0.69
1022  2.00 0.05 2760  -0.19
1023  2.00 0.01 2366  -5.16
1041  2.00 0.23 3220 -13.26
1042  2.00 0.09 2865   0.51
1043  2.00 0.04 2755   0.14
1044 -0.15 0.11 3008   8.86
1046  0.88 0.02 2537   1.73
1072  0.86 0.04 2748   2.18
1077  2.00 0.33 3305   1.41
1078  0.94 0.19 3185   3.64
1079  2.00 0.11 2964   3.21
1085  2.00 0.01 2181  -1.74
1103  2.00 1.00 3809   1.16
1104  2.00 0.52 3445   1.41
1105  0.70 0.14 3097   5.73
1124  0.45 0.27 3255   7.08
1125  2.00 0.11 2945   3.04
1126 -0.39 0.15 3126  10.03
1127 -0.47 0.13 3079  10.19
1158  2.00 0.63 3538   0.88
1159  2.00 0.48 3412   1.27
1160  2.00 0.22 3215  -1.31
1161  2.00 0.38 3341   1.36
1162  2.00 0.07 2858  -0.15
1166  0.59 0.02 2429   3.62
1185  2.00 0.69 3586  -2.00
1186  2.00 0.92 3762   1.86
1187  2.00 0.54 3456   0.65
1188  2.00 0.29 3270   1.62
1189  2.00 0.27 3254   0.63
1190  2.00 0.20 3195   0.01
1191  2.00 0.18 3167   1.00
1192  0.90 0.14 3106   4.04
1193  0.81 0.13 3063   5.07
1194  2.00 0.07 2855   0.44
1195 -0.28 0.17 3160   9.90
1196 -0.12 0.15 3110   9.11
1198  0.08 0.07 2841   6.21
1208  0.57 0.01 2167   1.53
1215 -0.29 0.01 1961   2.61
1231  2.00 0.04 2747   1.47
1233  2.00 0.02 2414   0.78
1234 -0.32 0.05 2761   7.91
1244  2.00 0.53 3452  -7.74
1245  2.00 0.79 3661  -5.23
1247  2.00 0.62 3521  -1.60
1249  2.00 0.92 3760   2.18
1250  2.00 1.03 3829   3.11
1251  2.00 1.09 3866   3.49
1252  2.00 0.38 3343  -0.13
1253  2.00 0.75 3630   2.76
1254  2.00 0.63 3537   2.65
1255  2.00 0.48 3409   1.29
1256  2.00 0.53 3456   2.32
1257  2.00 0.25 3239  -0.03
1258  2.00 0.56 3479   3.82
1259  2.00 0.14 3106  -0.95
1260  2.00 0.16 3144  -0.12
1261  2.00 0.33 3304   3.10
1262  2.00 0.27 3260   2.29
1263  2.00 0.38 3343   4.25
1264  2.00 0.14 3107   0.30
1265  2.00 0.12 3050  -0.71
1266  2.00 0.27 3260   3.65
1267  2.00 0.23 3227   2.95
1268  2.00 0.39 3346   5.61
1269  2.00 0.14 3091   1.21
1270  2.00 0.36 3325   5.01
1271  2.00 0.10 2904  -0.91
1272  2.00 0.07 2839  -2.50
1273  2.00 0.13 3065   1.51
1274  2.00 0.05 2762  -3.18
1275  2.00 0.06 2836  -1.27
1276 -0.11 0.62 3523  12.42
1277  2.00 0.05 2779  -0.88
1278  2.00 0.07 2855   0.79
1279  0.26 0.23 3222   8.56
1280  2.00 0.04 2752  -1.56
1281  0.92 0.09 2867   3.64
1282  2.00 0.05 2763   0.41
1283  0.56 0.11 2963   6.07
1284  0.00 0.22 3212   9.56
1285  0.13 0.14 3105   8.25
1286  2.00 0.04 2696  -0.16
1288  0.03 0.06 2827   6.31
1289  2.00 0.02 2475   0.12
1290  0.69 0.04 2703   3.80
1296  2.00 0.01 2290  -0.13
1297  2.00 0.01 2286   0.40
1298  2.00 0.01 2137  -3.07
1301  0.01 0.01 2360   6.19
1302 -0.14 0.01 2355   6.93
1303  0.37 0.00 1898  -2.37
1306 -0.24 0.01 2244  10.03
1310  2.00 0.50 3423 -13.14
1311  2.00 0.71 3597   1.49
1312  2.00 0.47 3405   0.16
1313  2.00 0.46 3393   1.70
1314  2.00 0.17 3152  -1.62
1315  2.00 0.20 3187   0.99
1316  2.00 0.10 2863   1.08
1317  0.90 0.03 2546   1.83
1325  2.00 0.17 3155 -20.43
1327  2.00 0.93 3765   0.96
1328  2.00 0.92 3763   2.29
1330  2.00 0.47 3405   0.62
1331  2.00 0.14 3084  -0.96
1332  2.00 0.11 3014  -0.54
1333  0.96 0.21 3207   3.84
1334  2.00 0.07 2850  -2.44
1335  2.00 0.04 2749  -0.38
1336  2.00 0.05 2760   1.28
1337  2.00 0.01 2202  -1.43
1338  0.56 0.01 2288   3.05
1339 -0.10 0.01 2328   6.81
1342  2.00 0.68 3577  -5.95
1343  2.00 0.25 3241   0.19
1344  0.51 0.01 2191   2.44
1346  2.00 0.55 3466  -9.31
1347  2.00 1.00 3809  -3.65
1349  2.00 0.92 3760   2.08
1350  2.00 0.62 3529   1.25
1351  2.00 0.25 3242  -1.30
1352  2.00 0.63 3535   4.31
1353  2.00 0.17 3154  -0.92
1354  2.00 0.24 3230   0.79
