index,SOURCEID,shortname,A/S/C,RA_deg,DE_deg,J_mag,H_mag,K_mag,SpT,Stetson_JHK,range_J,range_H,range_K,vanilla_period_J,vanilla_per_amp_J,vanilla_per_fap_J,vanilla_period_H,vanilla_per_amp_H,vanilla_per_fap_H,vanilla_period_K,vanilla_per_amp_K,vanilla_per_fap_K,poly2_period_J,poly2_per_amp_J,poly2_per_fap_J,poly2_period_H,poly2_per_amp_H,poly2_per_fap_H,poly2_period_K,poly2_per_amp_K,poly2_per_fap_K,poly4_period_J,poly4_per_amp_J,poly4_per_fap_J,poly4_period_H,poly4_per_amp_H,poly4_per_fap_H,poly4_period_K,poly4_per_amp_K,poly4_per_fap_K,Periodic?,Period,Amp,Method,Best Band
217,4.49898E+13,ic_217A_M4.0_Q0,A,56.14461772,32.26511826,13.2478838,12.13057423,11.52580929,4,1.535503722,0.035429955,0.032020569,0.031612206,0.50,1.39E-02,5.79E-03,0.10,1.09E-02,3.16E-02,0.33,1.00E-02,2.24E-02,0.05,9.77E-03,1.35E-02,0.93,1.02E-02,2.89E-02,0.33,8.83E-03,1.62E-02,0.05,1.01E-02,6.75E-03,0.93,1.02E-02,2.73E-02,1.07,8.40E-03,4.74E-02,,,,,
218,4.49898E+13,ic_218C_M2.5_Q2,C,56.14508106,31.9486636,12.86440849,12.03164101,11.53581238,2.5,14.52350032,0.217111206,0.179338455,0.164768887,3.48,8.78E-02,1.61E-09,3.48,7.95E-02,4.86E-11,3.48,6.54E-02,2.21E-11,3.46,7.87E-02,3.23E-05,3.48,7.05E-02,6.23E-06,3.49,5.98E-02,2.15E-06,3.46,7.84E-02,4.18E-05,3.48,7.03E-02,1.86E-06,3.48,5.83E-02,5.25E-06,,,,,
219,4.49898E+13,ic_219C_M2.0_Q2,C,56.14512232,32.18834838,12.71598244,11.93779087,11.54658222,2,0.643358268,0.030797386,0.026525307,0.026514053,93.46,9.99E-03,7.98E-03,0.05,8.91E-03,1.09E-02,1.02,8.66E-03,2.11E-02,79.36,1.07E-02,2.37E-02,0.50,1.26E-02,8.96E-03,0.11,8.90E-03,4.05E-02,0.07,6.95E-03,2.49E-01,0.05,7.65E-03,1.17E-01,0.11,8.99E-03,2.86E-02,,,,,
220,4.49898E+13,ic_220A_M3.5_Q0,A,56.1452815,32.16486676,12.52493572,11.67735767,11.23352718,3.5,1.258400811,0.032586288,0.037124443,0.027642632,0.98,1.11E-02,1.27E-02,5.69,1.09E-02,9.92E-03,5.69,1.07E-02,2.17E-07,0.85,1.13E-02,2.81E-02,0.85,1.21E-02,1.85E-02,5.69,1.06E-02,2.76E-06,0.85,1.17E-02,5.21E-03,5.68,1.19E-02,1.53E-03,5.68,9.95E-03,3.81E-05,,,,,
221,4.49898E+13,ic_221C_M7.5_Q2,C,56.14542788,32.25001727,17.00215912,16.22109604,15.54306889,7.5,0.20267027,0.073383331,0.057382584,0.064486122,0.05,2.42E-02,2.63E-02,0.04,1.71E-02,3.19E-02,0.15,1.85E-02,1.77E-02,0.07,2.33E-02,5.50E-02,0.04,1.78E-02,9.56E-02,0.09,1.67E-02,2.52E-01,0.07,2.20E-02,1.05E-01,0.05,1.37E-02,1.72E-01,0.05,1.65E-02,2.40E-01,,,,,
222,4.49898E+13,ic_222C_M3.5_Q2,C,56.14579015,32.25865533,13.23658085,12.36922264,11.95663166,3.5,1.815147177,0.0382864,0.041376114,0.039548874,0.50,2.16E-02,8.65E-03,0.50,1.84E-02,2.62E-03,0.33,1.76E-02,2.85E-05,0.50,9.38E-03,5.59E-02,0.55,9.64E-03,1.59E-01,1.23,1.21E-02,1.52E-04,0.50,9.25E-03,6.66E-02,0.55,9.38E-03,1.14E-01,1.23,1.24E-02,3.90E-06,,,,,
223,4.49898E+13,ic_223A_M5.0_Q0,A,56.14590418,32.14926601,14.808671,14.14339066,13.65391922,5,0.480941822,0.028157616,0.029337692,0.021689796,0.58,7.94E-03,2.48E-02,99.01,9.39E-03,2.76E-03,1.02,7.37E-03,8.96E-05,0.05,8.41E-03,8.86E-02,89.29,9.62E-03,1.12E-02,0.34,6.30E-03,1.99E-01,0.05,7.76E-03,1.58E-01,0.20,6.85E-03,2.57E-01,0.94,5.91E-03,2.20E-01,,,,,
224,4.49898E+13,ic_224A_M0.0_Q0,A,56.14738371,32.12672075,12.0115366,11.03563023,10.45956612,0,13.90041137,0.221142769,0.212527847,0.220166779,3.78,7.55E-02,4.97E-03,0.13,7.28E-02,1.29E-03,0.50,8.02E-02,1.92E-03,7.52,7.74E-02,7.32E-02,0.13,7.62E-02,9.45E-03,0.05,6.70E-02,5.65E-03,7.52,7.74E-02,7.37E-02,0.13,7.67E-02,8.00E-03,0.05,6.78E-02,3.48E-03,,,,,
225,4.49898E+13,ic_225A_M5.2_Q0,A,56.14774849,32.14898202,13.19387054,12.38773918,11.81048679,5.25,0.491996765,0.023197746,0.028265953,0.023352242,0.07,7.12E-03,2.98E-02,85.47,9.48E-03,1.93E-03,0.33,6.98E-03,5.29E-03,0.07,8.18E-03,3.00E-02,90.09,9.54E-03,4.47E-02,0.33,6.23E-03,4.91E-02,0.07,8.05E-03,7.96E-03,0.05,8.48E-03,7.92E-02,0.33,6.25E-03,4.65E-02,,,,,
226,4.49898E+13,ic_226C_M5.2_Q2,C,56.14798665,32.13460661,13.55155468,12.79901505,12.29537868,5.25,0.048188248,0.02217598,0.02438221,0.020460892,0.59,7.89E-03,4.71E-03,0.99,7.74E-03,4.43E-03,0.50,8.31E-03,1.54E-05,0.59,8.13E-03,2.39E-02,0.05,7.06E-03,1.33E-02,0.20,5.53E-03,3.09E-02,0.59,7.64E-03,3.76E-02,0.05,6.81E-03,2.53E-02,0.20,5.68E-03,1.31E-02,,,,,
227,4.49898E+13,ic_227C_M3.2_Q2,C,56.1486784,32.05098109,13.49068451,12.39754868,11.64696312,3.25,49.6550277,0.856638908,0.634310532,0.41577301,0.25,2.54E-01,7.34E-03,0.25,2.26E-01,4.16E-04,0.25,1.33E-01,2.22E-02,0.05,2.00E-01,1.94E-01,0.20,1.87E-01,1.24E-02,0.04,1.11E-01,3.30E-01,0.05,2.00E-01,1.86E-01,0.20,1.72E-01,4.58E-02,0.04,1.10E-01,3.30E-01,,,,,
228,4.49898E+13,ic_228C_M5.8_Q2,C,56.14872071,32.08131532,13.67125607,13.0767107,12.6249733,5.75,0.371325524,0.019038391,0.019996452,0.017290497,1.01,6.76E-03,1.91E-03,1.04,7.27E-03,5.03E-04,0.17,5.10E-03,2.81E-02,0.75,4.85E-03,2.83E-01,0.20,5.62E-03,6.05E-02,0.17,5.36E-03,3.30E-02,0.75,4.83E-03,2.84E-01,0.04,5.46E-03,6.05E-02,0.17,5.29E-03,3.04E-02,,,,,
229,4.49898E+13,ic_229A_M3.8_Q0,A,56.14954335,32.2511768,13.84033012,12.69138145,12.07821751,3.75,3.699981689,0.069253445,0.070944786,0.060954475,0.07,2.17E-02,7.50E-03,0.33,2.95E-02,6.10E-02,0.50,5.54E-02,1.04E-04,0.25,2.36E-02,5.89E-02,0.50,5.49E-02,5.13E-02,0.21,2.09E-02,8.88E-03,0.05,1.97E-02,4.05E-02,0.50,5.13E-02,1.22E-01,0.21,1.97E-02,8.40E-03,,,,,
